Region,RegionName,StateName,CountyName,CityName,ForecastYoYPctChange
Country,United States,,,,5.1
State,Alabama,AL,,,5.1
State,Alaska,AK,,,2.4
State,Arizona,AZ,,,5.3
State,Arkansas,AR,,,5.0
State,California,CA,,,7.1
State,Colorado,CO,,,5.0
State,Connecticut,CT,,,3.4
State,Delaware,DE,,,3.5
State,District of Columbia,DC,,,4.3
State,Florida,FL,,,5.1
State,Georgia,GA,,,5.7
State,Hawaii,HI,,,3.7
State,Idaho,ID,,,5.9
State,Illinois,IL,,,4.4
State,Indiana,IN,,,4.9
State,Iowa,IA,,,4.1
State,Kansas,KS,,,4.2
State,Kentucky,KY,,,4.7
State,Louisiana,LA,,,3.7
State,Maine,ME,,,5.5
State,Maryland,MD,,,3.5
State,Massachusetts,MA,,,4.0
State,Michigan,MI,,,4.4
State,Minnesota,MN,,,5.0
State,Mississippi,MS,,,3.4
State,Missouri,MO,,,4.1
State,Montana,MT,,,5.5
State,Nebraska,NE,,,4.4
State,Nevada,NV,,,3.6
State,New Hampshire,NH,,,5.3
State,New Jersey,NJ,,,4.5
State,New Mexico,NM,,,4.8
State,New York,NY,,,3.9
State,North Carolina,NC,,,5.7
State,North Dakota,ND,,,3.8
State,Ohio,OH,,,4.8
State,Oklahoma,OK,,,4.5
State,Oregon,OR,,,4.9
State,Pennsylvania,PA,,,4.3
State,Rhode Island,RI,,,4.2
State,South Carolina,SC,,,4.8
State,South Dakota,SD,,,4.9
State,Tennessee,TN,,,6.6
State,Texas,TX,,,4.8
State,Utah,UT,,,3.7
State,Vermont,VT,,,2.7
State,Virginia,VA,,,4.9
State,Washington,WA,,,4.7
State,West Virginia,WV,,,2.4
State,Wisconsin,WI,,,1.4
State,Wyoming,WY,,,4.6
County,Abbeville County,SC,Abbeville County,,2.9
County,Acadia Parish,LA,Acadia Parish,,5.0
County,Accomack County,VA,Accomack County,,3.6
County,Ada County,ID,Ada County,,8.6
County,Adair County,IA,Adair County,,2.6
County,Adair County,KY,Adair County,,3.5
County,Adair County,MO,Adair County,,5.7
